id,layer,dataset,provider,type,url,coverage,freq,typical_use,notes
MACRO_001,macro_finance,"IMF Data - SDMX API (multiple databases: IFS, WEO, DOTS, etc.)",International Monetary Fund (IMF),API (SDMX),https://datahelp.imf.org/knowledgebase/articles/667681-using-json-restful-web-service,Global,Varies (daily to annual),"macro nowcasting, balance of payments stress, FX/interest-rate exposure proxies",Free; SDMX/JSON endpoints.
MACRO_002,macro_finance,World Bank Indicators API (WDI + 45+ databases),World Bank,API,https://datahelpdesk.worldbank.org/knowledgebase/articles/889392-about-the-indicators-api-documentation,Global,Mostly annual/quarterly,"sovereign risk context, growth/inflation/debt, sector demand signals",Free.
MACRO_003,macro_finance,World Bank International Debt Statistics (IDS),World Bank,Portal + API guide,https://worldbank.github.io/debt-data/api-guide/,Global,Annual (plus some quarterly debt tables),"debt sustainability signals, refinancing risk, external vulnerability",Uses World Bank Indicators API.
MACRO_004,macro_finance,OECD SDMX-JSON API,OECD,API (SDMX),https://data.oecd.org/api/sdmx-json-documentation/,OECD + partner economies,Varies,"labor/industry indicators, competitiveness, productivity",Free.
MACRO_005,macro_finance,Eurostat APIs (STATISTICS + SDMX 2.1/3.0),Eurostat (European Commission),API,https://ec.europa.eu/eurostat/web/user-guides/data-browser/api-data-access/api-getting-started,EU/EEA + partners,Daily updates (dataset-dependent),"EU macro/industry/regional risk signals, inflation, labor, energy, water environment stats",Free.
MACRO_006,macro_finance,ECB SDW / Data Portal (SDMX),European Central Bank (ECB),API (SDMX),https://data.ecb.europa.eu/help/api-documentation,Euro Area + global series,Daily to monthly,"rates, credit conditions, banking metrics, inflation expectations proxies",Free.
MACRO_007,macro_finance,BIS Statistics (SDMX),Bank for International Settlements (BIS),API (SDMX),https://stats.bis.org/api-doc/v1/,Global,Quarterly/monthly,"cross-border banking exposure, debt securities, credit cycles",Free.
MACRO_008,macro_finance,FRED API (economic time series),Federal Reserve Bank of St. Louis,API,https://fred.stlouisfed.org/docs/api/fred/,Primarily US + some global,Daily/weekly/monthly,"macro factors, rates/spreads, recession proxies for risk models",Free with API key.
MACRO_009,macro_finance,UNdata API,UN Statistics Division (UNdata),API,https://data.un.org/Host.aspx?Content=API,Global,Varies,"demographics, trade, SDG, country context features",Free.
TRADE_001,trade_supply_chain,UN Comtrade API,UN Comtrade,API,https://comtradeapi.worldbank.org/,Global,Monthly/annual (by reporter),"export/import shocks, supplier concentration, sanctions pass-through, sector exposure",Free tier + terms.
TRADE_002,trade_supply_chain,WTO Data Portal,World Trade Organization (WTO),Portal,https://data.wto.org/,Global,Varies,"tariff/trade flows context, dispute/supply stress proxies",Free (access terms).
TRADE_003,trade_supply_chain,UNCTADstat,UNCTAD,Portal,https://unctadstat.unctad.org/,Global,Varies,"trade/investment/transport indicators, supply-chain risk context",Free; API availability varies.
TRADE_004,trade_supply_chain,IMF PortWatch (shipping disruptions),IMF PortWatch,Portal/API (dataset),https://portwatch.imf.org/,Global ports,Near-real-time,logistics disruption signals impacting company revenues/costs,Free portal; dataset access varies.
PRICE_001,markets_prices,World Bank Commodity Price Data (The Pink Sheet),World Bank,Download (XLSX/PDF),https://www.worldbank.org/en/research/commodity-markets,Global,Monthly,"input cost risk, inflation pass-through, commodity exposure stress tests",Free. Monthly/annual historical XLSX available.
PRICE_002,markets_prices,EIA Open Data API,U.S. Energy Information Administration (EIA),API,https://www.eia.gov/opendata/documentation.php,Primarily US + global energy series,Daily/weekly/monthly,"energy price shocks, refinery/utilization, supply tightness signals",Free with API key.
CORP_001,corporate_filings,SEC EDGAR (company facts / XBRL),U.S. SEC,API,https://www.sec.gov/edgar/sec-api-documentation,US listed issuers,Quarterly/annual + filings,"fundamentals, cashflow risk, covenant signals, NLP on filings",Free; rate limits and fair access rules apply.
CORP_002,corporate_filings,Companies House API,UK Companies House,API,https://developer.company-information.service.gov.uk/,UK companies,Near-real-time,"corporate registry risk, directors/PSC changes, insolvency signals",Free with API key.
CORP_003,corporate_filings,OpenCorporates API (company + ownership network),OpenCorporates,API,https://api.opencorporates.com/documentation/API-Reference,Multi-country,Varies by source,"beneficial ownership mapping, counterparty risk, network analytics",Free for open data projects; paid tiers exist.
AML_001,sanctions_fincrime,OFAC Sanctions List Service (SLS),U.S. Treasury OFAC,API/Portal,https://ofac.treasury.gov/sanctions-list-service,Global targets,Frequent updates,"sanctions screening, counterparty risk, compliance gating",Free.
AML_002,sanctions_fincrime,OFAC SDN List (download formats),U.S. Treasury OFAC,Download,https://sanctionslist.ofac.treas.gov/Home/SdnList,Global targets,Frequent updates,"sanctions screening, entity resolution training data",Free.
AML_003,sanctions_fincrime,UK Consolidated List of Financial Sanctions Targets,UK Government (OFSI / HMT),Download,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,Global targets,Frequent updates,"UK sanctions screening, compliance",Free.
AML_004,sanctions_fincrime,UN Security Council Consolidated Sanctions List,United Nations,Portal/Download,https://main.un.org/securitycouncil/en/content/un-sc-consolidated-list,Global targets,Frequent updates,"UN sanctions screening, compliance baseline",Free.
AML_005,sanctions_fincrime,EU Consolidated Financial Sanctions List (XML),European Commission,Download (XML),https://webgate.ec.europa.eu/fsd/fsf/public/files/xmlFullSanctionsList_1_1/content?token=dG9rZW4tMjAxNw,EU sanctions targets,Frequent updates,EU sanctions screening,Tokenized URL may change; use EU FSD portal if needed.
GEO_001,geopolitics_conflict,GDELT (global news events/mentions),GDELT Project,API/Download,https://www.gdeltproject.org/,Global,Near-real-time,"event risk signals, sentiment, protest/strike detection affecting assets",Free; large-scale use requires care.
GEO_002,geopolitics_conflict,ACLED API (political violence & protest events),ACLED,API,https://acleddata.com/acled-api-documentation,Global,Weekly+,"physical security risk, disruption probability, location risk scoring",Requires access credentials; terms apply.
GEO_003,geopolitics_conflict,UCDP API (organized violence datasets),Uppsala Conflict Data Program (UCDP),API,https://ucdp.uu.se/apidocs/,Global,Annual releases + API,"conflict intensity baselines, fatalities risk features for country/city models",Free; cite properly.
GOV_001,governance_institutions,Worldwide Governance Indicators (WGI),World Bank,Portal (download),https://databank.worldbank.org/source/worldwide-governance-indicators,Global,Annual,"sovereign/operating environment risk, corruption/regulatory quality factors",Free (DataBank download options).
GOV_002,governance_institutions,Transparency International - CPI (index page),Transparency International,Portal,https://www.transparency.org/en/cpi/2024,Global,Annual,"corruption risk factor, compliance heatmaps",Download format varies by year.
GOV_003,governance_institutions,WJP Rule of Law Index - current & historical data,World Justice Project,Download (Excel),https://worldjusticeproject.org/our-work/research-and-data/wjp-rule-law-index-2021/current-historical-data,Global,Annual,"legal predictability factor, contract enforcement risk",Free download (Excel).
GOV_004,governance_institutions,ND-GAIN Country Index (climate vulnerability + readiness),University of Notre Dame (ND-GAIN),Download,https://gain.nd.edu/our-work/country-index/download-data/,Global,Annual,climate transition/physical risk overlay at country level,Free; check version notes.
CLIM_001,climate_natural_hazards,Copernicus Climate Data Store (CDS) API,Copernicus C3S (ECMWF),API,https://cds.climate.copernicus.eu/how-to-api,Global,Hourly to monthly (reanalysis/forecasts),"heat/drought/flood risk features, scenario stress tests for operations",Free registration required.
CLIM_002,climate_natural_hazards,NOAA Climate Data Online (CDO) Web Services,NOAA NCEI,API,https://www.ncdc.noaa.gov/cdo-web/webservices/getstarted,Global + US station networks,Daily/monthly,"weather anomaly features, precipitation/temperature extremes",Free token; rate limits.
CLIM_003,climate_natural_hazards,EM-DAT Public Disaster Database,CRED / EM-DAT,Portal (registration),https://doc.emdat.be/docs/data-accessibility/,Global,Event-based,disaster frequency/severity baselines for country/sector risk,Free for non-commercial after registration; paid commercial license.
CLIM_004,climate_natural_hazards,GDACS (global disaster alerts),UN + European Commission framework,Portal/feeds,https://gdacs.org/,Global,Near-real-time,sudden-onset disaster alerting for supply chain/asset monitoring,Feeds exist; official API details vary.
CLIM_005,climate_natural_hazards,"Copernicus EMS data access (flood/drought/wildfire early warning, mapping)",Copernicus Emergency Management Service (CEMS),Portal/Download,https://emergency.copernicus.eu/data/,Europe + global products,Near-real-time + forecast products,early warning overlays for operations and infrastructure risk,Free access; product-specific terms.
CLIM_006,climate_natural_hazards,NASA FIRMS Fire API (active fires),NASA LANCE / FIRMS,API,https://firms.modaps.eosdis.nasa.gov/api/,Global,Near-real-time,wildfire exposure monitoring for sites/supply chains,API key required for some endpoints.
WATER_001,water_hydrology,WRI Aqueduct Data (Water Risk Atlas),World Resources Institute (WRI),Portal/Download,https://www.wri.org/aqueduct/data,Global,Baseline + projections,water stress/depletion/flood risk scoring for facilities and countries,Free; see data dictionaries on GitHub.
WATER_002,water_hydrology,Aqueduct 4.0 data & methodology repo,WRI (GitHub),Docs/Download pointers,https://github.com/wri/Aqueduct40,Global,Versioned releases,"indicator definitions, reproducible risk features, data dictionaries",Free.
WATER_003,water_hydrology,FAO AQUASTAT (water & agriculture indicators),FAO,Portal,https://data.apps.fao.org/aquastat/,Global,Annual (indicator-dependent),"renewable water resources, withdrawals, irrigation exposure, country water balance context",Free. Dissemination system via FAO platform.
WATER_004,water_hydrology,USGS Water Services (legacy endpoints),USGS,API,https://waterservices.usgs.gov/docs,US (dense coverage),15-min to daily,"river flow/drought signals, operational water risk for US assets",Free.
